Name,NameEng,Latitude,Longitude,Elevation(m)
Մեղրի,Meghri,38.89778,46.2425,626.56
Քաջարան,Kajaran,39.15,46.01667,1842.72
Կապան,Kapan,39.20417,46.46222,704.82
Սիսիան,Sisian,39.52028,46.02972,1580.09
Գորիս,Goris,39.51806,46.33833,1550.13
Արենի,Areni,39.72722,45.18833,1008.94
Որոտան լ-ցք,Vorotan canyon,39.69306,45.71167,2387
Արարատ,Ararat,39.83139,44.70833,817.97
Անանուն լ-ցք,Ananun canyon,39.83056,44.99194,2122
Ջերմուկ,Jermuk,39.83389,45.67111,2064.37
Արտաշատ,Artashat,39.95861,44.5375,829.32
Ուրցաձոր,Urtsadzor,39.91972,44.82722,1063.92
Երևան Ագրո,Yerevan-agro,40.18861,44.39861,942
Երևան Աերոլոգիական,Yerevan-aero,40.13,44.3,1134
Մարտունի,Martuni,40.13694,45.29694,1943
Արմավիր,Armavir,40.13722,44.0475,860.84
Երևան Զվարթնոց,Yerevan Zvartnots,40.15,44.3833,854
Երևան Արաբկիր,Yerevan Arabkir,40.19528,44.51222,1013.39
Մասրիկ,Masrik,40.2075,45.76444,1934.11
Աշտարակ,Ashtarak,40.29444,44.34278,1090
Եղվարդ,Egvard,40.31222,44.48278,1336.43
Թալին,Talin,40.38639,43.89306,1636.85
Համբերդ,Amberd,40.385,44.26028,2071
Ֆանտան,Fantan,40.39528,44.68278,1779.71
Գավառ,Gavar,40.34861,45.13,1960.31
Ապարան լճ․,Aparan,40.47222,44.18111,1889
Հրազդան,Hrazdan,40.49,44.76,1765.15
Շորժա,Shorja,40.5,45.27,1917.23
Ծաղկահովիտ,Tsaghkahovit,40.64,44.22,2101
Ապարան,Aparan,40.54,44.39,1889.33
Սևան լճ․,Sevan Lake,40.57,45.01,1917.24
Ճամբարակ,Tchambarak,40.6,45.36,1852.82
Սեմյոնովկա,Semyonovka,40.66,44.9,2104.2
Գյումրի,Gyumri,40.77,44.86,1512.69
Վանաձոր,Vanadzor,40.84,44.44,1375.95
Դիլիջան,Dilijan,40.74,44.86,1256.15
Ամասիա,Amasia,40.95,43.78,1876.04
Պուշկինի լ-ցք,Pushkini canyon,40.91,44.43,2066
Իջևան,Idjevan,40.87,45.15,732.38
Աշոցք,Ashotsk,41.03,43.87,2012.00
Ստեփանավան,Stepanavan,41.00,44.41,1397
Օձուն,Odzun,41.06,44.61,1105
Տաշիր,Tashir,41.12,44.28,1507
Բագրատաշեն,Bagratashen,41.25,44.82,450.75